,Zipcode,City,Lat,Lng,Population,counts
47307,94142,San Francisco,37.78,-122.41,1208,0
47306,94141,San Francisco,37.76,-122.41,414,0
47305,94140,San Francisco,37.75,-122.41,625,0
47299,94134,San Francisco,37.72,-122.41,32983,0
47359,94904,Greenbrae,37.94,-122.56,10158,0
47504,95012,Castroville,36.76,-121.75,8542,0
47505,93925,Chualar,36.57,-121.44,1743,0
47506,94517,Clayton,37.88,-121.84,11352,0
47653,95043,Paicines,36.53,-120.96,494,0
47651,93950,Pacific Grove,36.61,-121.92,12550,0
47650,94563,Orinda,37.89,-122.19,17132,0
47648,94561,Oakley,37.99,-121.68,27185,0
47644,94662,Emeryville,37.84,-122.29,557,0
47635,94623,Oakland,37.8,-122.29,420,0
47632,94621,Oakland,37.73,-122.2,18680,0
47629,94619,Oakland,37.78,-122.12,18775,0
47627,94618,Oakland,37.84,-122.23,13888,0
47621,94612,Oakland,37.8,-122.27,8710,0
47618,94611,Oakland,37.83,-122.22,32155,0
47615,94610,Oakland,37.81,-122.24,24162,0
47614,94609,Oakland,37.83,-122.26,14227,0
47612,94608,Emeryville,37.83,-122.29,18425,0
47611,94607,Oakland,37.81,-122.3,14897,0
47610,94606,Oakland,37.78,-122.24,25875,0
47609,94605,Oakland,37.75,-122.13,28141,0
47608,94604,Oakland,37.8,-122.26,1423,0
47607,94603,Oakland,37.73,-122.17,21407,0
47605,94602,Oakland,37.8,-122.21,22480,0
47604,94601,Oakland,37.77,-122.21,33456,0
47603,94560,Newark,37.51,-122.04,35570,0
47601,94581,Napa,38.29,-122.28,1475,0
47600,94559,Napa,38.23,-122.29,21017,0
47598,94558,Napa,38.55,-122.15,54496,0
47658,93953,Pebble Beach,36.58,-121.94,3861,0
47659,94564,Pinole,37.99,-122.27,15898,0
47660,94565,Pittsburg,38.0,-121.83,61968,0
47664,94566,Pleasanton,37.65,-121.85,37329,0
47721,95110,San Jose,37.34,-121.9,12621,0
47720,95109,San Jose,37.33,-121.89,873,0
47713,93962,Spreckels,36.62,-121.64,729,0
47712,93915,Salinas,36.67,-121.62,3402,0
47711,93912,Salinas,36.73,-121.68,3847,0
47708,93908,Salinas,36.61,-121.62,11306,0
47706,93907,Salinas,36.76,-121.65,16466,0
47705,93906,Salinas,36.72,-121.63,42006,0
47703,93905,Salinas,36.67,-121.61,49791,0
47702,93902,Salinas,36.67,-121.65,1764,0
47701,93901,Salinas,36.64,-121.62,19097,0
47700,94574,Saint Helena,38.55,-122.39,7143,0
47597,95041,Mount Hermon,37.05,-122.05,575,0
47699,94573,Rutherford,38.45,-122.41,771,0
47696,94547,Hercules,38.01,-122.25,20527,0
47695,94571,Rio Vista,38.18,-121.73,6699,0
47692,94820,El Sobrante,37.97,-122.29,661,0
47686,94806,San Pablo,37.98,-122.33,43290,0
47684,94805,Richmond,37.94,-122.31,10551,0
47683,94804,Richmond,37.92,-122.34,26686,0
47680,94803,El Sobrante,37.95,-122.26,20102,0
47679,94802,Richmond,37.93,-122.35,573,0
47674,94801,Richmond,37.96,-122.38,18180,0
47668,94567,Pope Valley,38.67,-122.44,537,0
47667,94588,Pleasanton,37.67,-121.93,28137,0
47665,94568,Dublin,37.71,-121.91,34457,0
47698,94572,Rodeo,38.03,-122.23,6725,0
47260,94957,Ross,37.96,-122.55,2219,0
47596,95039,Moss Landing,36.84,-121.77,1267,0
47594,95037,Morgan Hill,37.17,-121.65,35452,0
47543,94555,Fremont,37.55,-122.07,28222,0
47542,94539,Fremont,37.51,-121.89,44440,0
47541,94538,Fremont,37.5,-121.96,49149,0
47540,94537,Fremont,37.55,-122.01,960,0
47539,94536,Fremont,37.56,-121.98,55569,0
47538,95019,Freedom,36.93,-121.78,7068,0
47536,95018,Felton,37.08,-122.05,6114,0
47534,94535,Travis Afb,38.26,-121.93,4193,0
47532,94534,Fairfield,38.23,-122.12,30105,0
47531,94533,Fairfield,38.28,-122.0,51145,0
47530,94530,El Cerrito,37.91,-122.3,21140,0
47529,94528,Diablo,37.83,-121.95,1028,0
47528,95017,Davenport,37.09,-122.24,718,0
